gene,module,aml_mean,other_mean,selectivity,cohens_d,t_statistic,p_value,aml_dependent_pct,n_aml,n_other,q_value,is_selective
KDR,RTK_signaling,-0.1731223920103925,-0.15440761858029348,-0.01871477343009903,-0.1452179931718438,-0.6284661231399554,0.5344622857746333,3.3333333333333335,30,1153,0.9064162328818026,False
MDK,RTK_signaling,-0.11704353503604557,-0.09985564743820954,-0.01718788759783603,-0.12800213162059126,-0.5482521311034434,0.5875851210975254,0.0,30,1153,0.9064162328818026,False
CSF1,RTK_signaling,-0.05696172275828023,-0.048133908242804925,-0.008827814515475305,-0.07229901684257152,-0.35319318970789876,0.7263946549584006,0.0,30,1153,0.9064162328818026,False
MET,RTK_signaling,-0.1506390475269627,-0.14907891357556352,-0.001560133951399173,-0.008832884674220427,-0.11828987713992745,0.9064162328818026,0.0,30,1153,0.9064162328818026,False
AREG,RTK_signaling,0.058050073325204746,0.054656764909732376,0.0033933084154723694,0.028914022590435226,0.1894808747607598,0.8509391233307536,0.0,30,1153,0.9064162328818026,False
EGFR,RTK_signaling,-0.12398357567040559,-0.2777386658021426,0.15375509013173705,0.4521680688873347,6.370281091079258,1.0926253083263535e-07,0.0,30,1153,6.555751849958122e-07,False
MYC,Hub_genes,-2.270327190975868,-1.745488705488121,-0.524838485487747,-0.7826093936901074,-6.285816677451392,4.3984627563811275e-07,100.0,30,1153,1.0556310615314706e-06,True
EPHA2,Hub_genes,-0.18296488386971727,-0.021065643784999945,-0.16189924008471732,-0.9644928574126914,-7.186638881809344,3.652506358800605e-08,0.0,30,1153,1.461002543520242e-07,False
MET,Hub_genes,-0.1506390475269627,-0.14907891357556352,-0.001560133951399173,-0.008832884674220427,-0.11828987713992745,0.9064162328818026,0.0,30,1153,0.9064162328818026,False
WNT7B,Hub_genes,0.04363792001572113,0.03757681009791144,0.006061109917809691,0.053297860885215945,0.29997691214351846,0.766218925233003,0.0,30,1153,0.8499721381447891,False
EPHA4,Hub_genes,0.07948868212202018,0.07307761164065725,0.0064110704813629266,0.062385766182395566,0.2829684661901115,0.7791411266327233,0.0,30,1153,0.8499721381447891,False
WNT4,Hub_genes,0.002142505198663332,-0.014812993214483657,0.016955498413146988,0.1948033304550781,0.9643046800238037,0.34253528487365814,0.0,30,1153,0.4567137131648775,False
KLF4,Hub_genes,0.03740367166927408,0.006559018158052763,0.030844653511221315,0.23898484521382415,2.0238725222424256,0.05113233267078379,0.0,30,1153,0.07669849900617569,False
CD44,Hub_genes,-0.02043471065317955,-0.06841612576866749,0.04798141511548794,0.29752567507500105,2.316619696915184,0.027008331075980507,0.0,30,1153,0.04629999613025229,False
CTNNB1,Hub_genes,-0.09952730499340431,-0.22122007318220743,0.12169276818880312,0.33347911835046534,7.620440632690615,1.542256349292251e-11,0.0,30,1153,1.8507076191507014e-10,False
EGFR,Hub_genes,-0.12398357567040559,-0.2777386658021426,0.15375509013173705,0.4521680688873347,6.370281091079258,1.0926253083263535e-07,0.0,30,1153,3.277875924979061e-07,False
SOX9,Hub_genes,-0.08951659342777064,-0.2578877691228771,0.16837117569510646,0.6161151391792475,7.444393155498659,5.988395447621953e-09,0.0,30,1153,3.593037268573172e-08,False
YAP1,Hub_genes,-0.17832691028009623,-0.3498296704169033,0.1715027601368071,0.519184669016021,5.913384378376329,8.232728866946741e-07,3.3333333333333335,30,1153,1.6465457733893482e-06,False
EPHA2,Cell_adhesion,-0.18296488386971727,-0.021065643784999945,-0.16189924008471732,-0.9644928574126914,-7.186638881809344,3.652506358800605e-08,0.0,30,1153,2.1915038152803632e-07,False
EPHB3,Cell_adhesion,-0.05224415053591831,0.02496936737839366,-0.07721351791431197,-0.5747065209800661,-2.203196999182519,0.03547220095709667,0.0,30,1153,0.060809487355022854,False
EPHB2,Cell_adhesion,-0.05996264894695624,0.017114685627084743,-0.07707733457404098,-0.7496847654674792,-4.917617571161112,2.6563113233746835e-05,0.0,30,1153,7.968933970124051e-05,False
CELSR1,Cell_adhesion,0.07231828611463172,0.1143932305927788,-0.04207494447814708,-0.4427938696011281,-2.9930822260555234,0.005337163415277795,0.0,30,1153,0.012809192196666706,False
TNC,Cell_adhesion,-0.011512180281570743,0.017317410528074922,-0.028829590809645665,-0.276515565815738,-1.5772054225893828,0.12499417348545279,0.0,30,1153,0.1874912602281792,False
EPHB4,Cell_adhesion,0.02096130465886493,0.02761915133659222,-0.0066578466777272895,-0.060966012164192,-0.3124021537469566,0.756870422166559,0.0,30,1153,0.7791411266327233,False
EPHA4,Cell_adhesion,0.07948868212202018,0.07307761164065725,0.0064110704813629266,0.062385766182395566,0.2829684661901115,0.7791411266327233,0.0,30,1153,0.7791411266327233,False
DDR1,Cell_adhesion,0.06915871474540995,0.06119851049178156,0.007960204253628395,0.0719493024014357,0.41097668281716304,0.6839426908852103,0.0,30,1153,0.7791411266327233,False
SDC4,Cell_adhesion,0.01638272448472126,0.004293710285505286,0.012089014199215976,0.1134727836012974,0.5432243880907622,0.5909654990741007,0.0,30,1153,0.7791411266327233,False
CD44,Cell_adhesion,-0.02043471065317955,-0.06841612576866749,0.04798141511548794,0.29752567507500105,2.316619696915184,0.027008331075980507,0.0,30,1153,0.05401666215196101,False
FERMT1,Cell_adhesion,0.030392914456629526,-0.06341767461158593,0.09381058906821546,0.46508829892326103,4.8252021766310556,2.6513398929062756e-05,0.0,30,1153,7.968933970124051e-05,False
FERMT2,Cell_adhesion,-0.16084431332714735,-0.6340089278482406,0.47316461452109326,0.9114156268556804,15.964221591010162,3.229869638537701e-22,0.0,30,1153,3.875843566245241e-21,False
PRICKLE1,WNT_core,-0.05632798154808036,-0.017219736781109968,-0.03910824476697039,-0.327796443801905,-1.681278237430338,0.10296790459473022,0.0,30,1153,0.3603876660815558,False
FZD6,WNT_core,0.12180570504028312,0.13023147559082815,-0.008425770550545025,-0.06673407425222902,-0.2926495289915554,0.7718061129498186,0.0,30,1153,0.7718061129498186,False
WNT7B,WNT_core,0.04363792001572113,0.03757681009791144,0.006061109917809691,0.053297860885215945,0.29997691214351846,0.766218925233003,0.0,30,1153,0.7718061129498186,False
LRP5,WNT_core,-0.13594749097503195,-0.15054690800631887,0.014599417031286921,0.1134760129447682,0.7051878036547942,0.48594899218314747,0.0,30,1153,0.6803285890564065,False
WNT4,WNT_core,0.002142505198663332,-0.014812993214483657,0.016955498413146988,0.1948033304550781,0.9643046800238037,0.34253528487365814,0.0,30,1153,0.6803285890564065,False
LGR4,WNT_core,0.06459559685331738,0.042779174096739696,0.021816422756577684,0.1844299553452483,0.8584418618954553,0.39743076742946215,0.0,30,1153,0.6803285890564065,False
CTNNB1,WNT_core,-0.09952730499340431,-0.22122007318220743,0.12169276818880312,0.33347911835046534,7.620440632690615,1.542256349292251e-11,0.0,30,1153,1.0795794445045758e-10,False
BCL2,Apoptosis_BCL2,-0.3288594398517247,-0.03326864080475925,-0.2955907990469655,-1.512830271278881,-4.417131743625351,0.0001244509344376007,30.0,30,1153,0.0007467056066256042,False
MCL1,Apoptosis_BCL2,-1.0190397923489505,-0.8066254783555928,-0.21241431399335764,-0.46055039513824836,-2.2936312188525,0.02892107869444496,83.33333333333334,30,1153,0.08676323608333489,False
BCL2A1,Apoptosis_BCL2,-0.07222160016462267,-0.03215360295548409,-0.04006799720913858,-0.3167635756284818,-1.451958645292289,0.15686631241956941,3.3333333333333335,30,1153,0.24682872920520577,False
BAX,Apoptosis_BCL2,0.09760344010892726,0.11320129002475911,-0.015597849915831852,-0.11833023580813666,-0.7427296160469311,0.4632186605429366,0.0,30,1153,0.5558623926515239,False
BCL2L1,Apoptosis_BCL2,-1.0053308904527614,-1.0347848758766538,0.029453985423892437,0.04847365643706013,0.2003596275301398,0.8425576326118298,63.33333333333333,30,1153,0.8425576326118298,False
BID,Apoptosis_BCL2,0.14579336782956517,0.08452498779843227,0.0612683800311329,0.32871881458074675,1.4247965945205463,0.16455248613680384,3.3333333333333335,30,1153,0.24682872920520577,False
